run_id,engine_id,case_id,benchmark_mode,thread_count,repeat_count,warmup_steps,physics_settings,build_settings,min_ms_per_step,mean_ms_per_step,median_ms_per_step,max_steps_per_second,mean_steps_per_second,body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,bepuphysics2,box_container_pile_10k,headless_api,1,10,30,"SolveDescription(4,1); sleep=disabled",.NET 10 Release; BepuPhysics ReleaseNoProfiling,16.512363333,17.115478133,17.187786000,60.560682915,58.442503010,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,rapier3d,box_container_pile_10k,headless_api,1,10,30,solver_iterations=4; sleep=disabled; ccd=default/off,Rust 1.89 Cargo release; Rapier3D 0.34.0 parallel,26.392237667,27.322490433,27.071019666,37.889928570,36.631011427,10005,10005,0,0,113
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,unity_physics,box_container_pile_10k,headless_api,1,10,30,PhysicsStep default solver; synchronize_collision_world=on,Unity 6000.5.2f1 Release IL2CPP player; Burst on; safety off,27.182566667,27.588244667,27.596257833,36.788284648,36.250308949,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,box3d,box_container_pile_10k,headless_api,1,10,30,substeps=4; sleep=disabled; continuous=disabled,clang-cl 22 Release static runner,31.569161000,32.017996933,31.892027333,31.676483262,31.237582236,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,physx34,box_container_pile_10k,headless_api,1,10,30,"solver_iterations=4,1; sleep_threshold=0",clang-cl 22 Release runner; Vite PhysX 3.4 runtime DLLs,34.049196333,35.356609667,35.601781000,29.369268814,28.296095474,10005,10005,0,0,9
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx34,box_container_pile_10k,headless_api,1,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 3.4 SDK+runner,46.961519333,50.088021933,49.608423500,21.294029967,19.991002463,10005,10005,0,0,2
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx5,box_container_pile_10k,headless_api,1,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 5.6 CPU SDK+runner,48.734729000,51.405834600,51.279061167,20.519248194,19.467256763,10005,10005,0,0,8
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,joltphysics,box_container_pile_10k,headless_api,1,10,30,"solver=4 velocity,1 position; sleep=disabled",clang-cl 22 Distribution static runner,55.634413333,58.437913567,58.683087333,17.974486295,17.119432778,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,box_container_pile_10k,headless_api,1,10,30,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",73.302998000,74.364950533,74.252016000,13.642006839,13.448647658,10005,10005,0,0,19
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,bepuphysics2,box_container_pile_10k,headless_api,2,10,30,"SolveDescription(4,1); sleep=disabled",.NET 10 Release; BepuPhysics ReleaseNoProfiling,10.692935000,11.018932667,11.061351667,93.519693143,90.776756591,10005,10005,0,0,0
